stats (11)
last_name, first_name,player_id,year,player_age,p_game,p_formatted_ip,p_strikeout,p_k_percent,p_era,pitch_hand,n,n_ff_formatted,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,ff_avg_break,ff_range_speed,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,sl_avg_break,sl_range_speed,n_ch_formatted,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,ch_avg_break,ch_range_speed,n_cukc_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break,cu_range_speed,n_sift_formatted,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,si_avg_break,si_range_speed,n_fc_formatted,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,fc_avg_break,fc_range_speed,n_fs_formatted,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z,fs_avg_break,fs_range_speed,n_kn_formatted,kn_avg_speed,kn_avg_spin,kn_avg_break_x,kn_avg_break_z,kn_avg_break,kn_range_speed,
Kluber, Corey,446372,2019,33,7,35.2,38,22.6,5.80,R,611,12.9,92,2332,-8.5,-18,16.9,1.4,,,,,,,,8.5,84.9,1804,-14.8,-32.8,15.8,1.4,22.9,82.9,2538,18.1,-41.2,18.4,1.3,26.7,91.3,2210,-15.7,-24.4,17.9,1.1,29,88.1,2503,3.4,-29.3,7.5,1.5,,,,,,,,,,,,,,,
Hill, Rich,448179,2019,39,13,58.2,72,29.8,2.45,L,950,52.7,90.3,2474,10.3,-15.6,21,1.3,3.2,73.1,2828,-22.7,-56.2,23.2,1.9,0.8,82.1,1681,11.7,-31.8,15.4,1.5,42.2,74.5,2918,-18.5,-65.9,23.7,1.3,0.7,88.1,2412,17.2,-26,19.8,1.5,0.3,84.8,2646,-4.1,-30.9,8.5,1.5,,,,,,,,,,,,,,,
Doolittle, Sean,448281,2019,33,63,60.0,66,25.4,4.05,L,1074,88.2,93.5,2215,3.8,-12,20,1.2,5.8,80.9,2424,-8.7,-39.9,9.5,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,83.7,2136,13.6,-23.4,21.1,1.5,,,,,,,,
Sipp, Tony,448609,2019,36,36,21.0,18,19.6,4.71,L,363,47.9,90.4,2065,8.2,-17.2,18.8,1.6,32,83.2,2007,-0.8,-35.6,5.2,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,78,969,9.6,-44.7,11,1.4,,,,,,,,
Guerra, Junior,448855,2019,34,72,83.2,77,22.4,3.55,R,1351,30.9,94.6,2459,-6.5,-12.3,19.6,0.9,,,,,,,,,,,,,,,18.8,82.1,2651,7.2,-49.4,11.1,1.6,29.2,94.8,2356,-14.4,-17,19.8,1,,,,,,,,21,86,1235,-9.2,-27.2,14.4,1.4,,,,,,,,
Volquez, Edinson,450172,2019,36,11,16.0,10,13.3,6.75,R,297,0.3,93.9,2280,-5.9,-13.7,18.4,,,,,,,,,36.7,83.1,1237,-12.5,-36.8,12.9,2.2,15.5,80.8,2726,9.1,-50.8,12.6,1.9,47.5,93.4,2291,-15,-20,19.2,2.2,,,,,,,,,,,,,,,,,,,,,,
Morton, Charlie,450203,2019,36,33,194.2,240,30.4,3.05,R,3138,29.8,94.7,2259,-13.6,-18.3,18.7,1.1,,,,,,,,,,,,,,,37.3,78.6,2886,18.6,-55.5,20.9,1.2,19.2,93.9,2102,-18.6,-26.2,19.5,1.2,10.4,85.4,2436,4.1,-36.3,5.6,1.6,3.3,84.9,2124,-20,-35.5,20.4,1.3,,,,,,,,
Neshek, Pat,450212,2019,39,20,18.0,9,11.4,5.00,R,280,,,,,,,,62.1,81.6,2234,3.7,-38.6,5.6,1.3,0.4,63.4,1376,-6.9,-60,13.1,,,,,,,,,37.1,88.5,2099,-15.8,-25.6,19,1.4,0.4,87.9,2022,-15,-27.2,17.2,,,,,,,,,,,,,,,,
Vargas, Jason,450306,2019,36,30,149.2,124,19.1,4.51,L,2505,27.6,84.2,2234,11.4,-23.2,19.8,1.7,,,,,,,,35.1,78.7,2208,17.6,-35.6,20.1,1.7,15.2,70.6,2433,-12.8,-65.7,15.5,2.1,22.2,84.2,2203,16.1,-28.6,19.4,1.8,,,,,,,,,,,,,,,,,,,,,,
Davis, Wade,451584,2019,34,50,42.2,42,20.4,8.65,R,839,44.6,93.2,2415,-2.2,-16.3,15.5,1.4,,,,,,,,1.4,90.6,2357,-8.7,-22.9,14.1,1.4,18.8,82.8,2582,6.3,-51.2,12.2,1.7,0.4,92.9,2382,-12.5,-21.9,16.2,1.5,34.8,88.9,2722,4.8,-29.8,7.4,1.6,,,,,,,,,,,,,,,
Lester, Jon,452657,2019,35,31,171.2,165,21.6,4.46,L,3041,28.3,90.6,2251,7.3,-17.8,17.3,1.2,,,,,,,,11.9,84.3,1939,13.5,-31.4,15.3,1.4,15.4,74.5,2606,-11.5,-55.3,12.6,2,10.2,89.5,2143,13.7,-26.5,15.7,1.4,34.2,87.9,2391,-1.6,-25.1,10.7,1.3,,,,,,,,,,,,,,,
Hughes, Jared,453172,2019,34,72,71.1,54,18.7,4.04,R,1103,5.9,92.8,2141,-12.5,-22.2,15.8,1.2,5.7,84.3,2107,3.6,-37.1,4.9,1.4,8.2,84.6,1551,-11,-35.7,12,1.5,5.7,80,2053,5.8,-45.7,6.7,1.5,74.5,91.1,1869,-16.1,-34.1,16.3,1,,,,,,,,,,,,,,,,,,,,,,
Kennedy, Ian,453178,2019,35,63,63.1,73,27.4,3.41,R,1095,66.9,94.4,2439,-10.2,-15,18.7,1.2,,,,,,,,1.7,87.9,2027,-14.1,-25.4,17.6,1.3,15.3,80.5,2687,11.8,-57.1,18.4,1.3,,,,,,,,16.1,91.3,2209,-0.4,-23.6,9.4,1.2,,,,,,,,,,,,,,,
Miller, Andrew,453192,2019,34,73,54.2,70,29.7,4.45,L,948,38.2,92.4,2086,7.5,-17.4,15.9,1.7,61.2,82.4,2599,-11.1,-40.6,11.4,1.4,0.1,84.2,2732,-12,-41.3,12.4,,,,,,,,,0.5,94.3,1994,15.7,-24.7,16.7,1.5,,,,,,,,,,,,,,,,,,,,,,
Watson, Tony,453265,2019,34,60,54.0,41,17.7,4.17,L,813,0.5,94.3,2347,11.7,-19.5,16.8,1.4,10.6,85.6,2367,-1.9,-33.4,5.7,1.5,38.1,86.1,2380,20.4,-31.5,21.5,1.4,,,,,,,,50.8,93,2328,16.7,-24.2,18.8,1.2,,,,,,,,,,,,,,,,,,,,,,
LeBlanc, Wade,453281,2019,35,26,121.1,92,17.3,5.71,L,1955,5.7,86.3,1935,10.4,-21.6,18.8,1.2,,,,,,,,31.1,78.6,1544,14.1,-37.6,16,1.4,10.9,72.5,2272,-13.2,-61.6,15.1,1.5,22.1,86.1,1888,15.3,-26.1,19.1,1.1,30.2,84.1,2005,0.3,-28.1,11.2,1.4,,,,,,,,,,,,,,,
Parker, Blake,453284,2019,34,60,61.1,65,25.5,4.55,R,999,46.7,91.3,2142,-3,-16.3,16.3,1,,,,,,,,,,,,,,,15.4,76,2185,7.4,-59.4,14,1.4,,,,,,,,6.1,88,2184,2.1,-25.3,10.1,1.4,31.7,80,1039,-9,-40.6,10,1.4,,,,,,,,
Scherzer, Max,453286,2019,35,27,172.1,243,35.1,2.92,R,2769,48.4,94.9,2474,-12.2,-16.7,18.9,1.5,20.7,85.6,2365,3.2,-36.1,4.4,1.4,14.5,84.3,1551,-15.7,-36.3,16.1,1.4,8.7,78.5,2719,10.8,-51.3,12.5,1.6,,,,,,,,7.7,89.8,2441,-0.5,-26.6,8.3,1.3,,,,,,,,,,,,,,,
Buchholz, Clay,453329,2019,35,12,59.0,39,15.4,6.56,R,963,14.4,89.7,2148,-8.9,-18,18.5,1.6,,,,,,,,19.7,76.6,1538,-10.2,-39.2,12.8,1.7,17.4,75.1,2707,13.7,-61.1,17.8,1.8,20.1,89.2,2120,-14.2,-22.7,18.5,1.5,28.2,84.4,2273,2.6,-30.8,8.9,1.5,,,,,,,,,,,,,,,
Melancon, Mark,453343,2019,34,66,67.1,68,23.9,3.61,R,1068,6.7,92.2,2341,-7.8,-20.2,14.5,1.1,,,,,,,,,,,,,,,31,82.1,2702,3.9,-57.7,16.3,1.2,,,,,,,,59.6,91.8,2349,1.2,-22.1,10.8,1,2.6,83.4,1801,-10.8,-28.9,15.2,1.6,,,,,,,,
Richard, Clayton,453385,2019,36,10,45.1,22,10.9,5.96,L,728,15.4,91.1,2284,12.9,-22.6,17.4,1.5,26,79.6,2219,-0.7,-46.8,3.9,2,1.8,82.1,1581,13.3,-39.2,14.2,1.5,,,,,,,,56.9,90.2,2185,18.4,-33.1,18.6,1.1,,,,,,,,,,,,,,,,,,,,,,
Arrieta, Jake,453562,2019,33,24,135.2,110,18.5,4.64,R,2192,1,91.9,2275,-8,-18.6,16.6,1.6,12,89.7,2363,2.9,-26,9.6,1.4,18.2,87.5,1730,-17,-35.7,17.3,1.3,13.4,80.6,2766,13.7,-54.7,17.5,1.5,55.5,92.5,2196,-16.4,-23.2,19,1.2,,,,,,,,,,,,,,,,,,,,,,
Martin, Chris,455119,2019,33,58,55.2,65,30.1,3.40,R,863,45.8,95.9,2293,-6.7,-14.6,16.5,1.1,9.7,86.1,2299,4.9,-39.4,6.3,1.4,,,,,,,,,,,,,,,17.7,95.2,2280,-14.2,-18,18.7,1.1,14.6,91.6,2256,3.4,-26.5,7.5,1.4,12.2,89,1663,-11.3,-31.2,12.1,1.3,,,,,,,,
Price, David,456034,2019,34,22,107.1,128,27.9,4.28,L,1861,27.5,91.9,2209,10.8,-18.2,18.5,1.8,,,,,,,,26.5,84.1,1800,16.4,-34,17.6,1.8,2.5,80.4,2264,-5,-45.2,5.6,1.7,26.2,91.9,2188,16.6,-21.9,20.1,1.6,17.3,88.5,2193,3.3,-26,10.3,1.7,,,,,,,,,,,,,,,
Noesi, Hector,456051,2019,32,12,27.2,24,19.4,8.46,R,497,,,,,,,,29.2,88.1,2202,0.4,-27.2,9,1.3,9.7,86.2,1858,-15.1,-29.5,17.2,1.2,16.7,80.1,2586,6.4,-49,8.1,1.2,44.5,93,2125,-12,-18.5,18.4,1.4,,,,,,,,,,,,,,,,,,,,,,
Hernandez, David,456696,2019,34,47,42.2,53,26.8,8.02,R,776,27.6,93.6,2367,-10.3,-15.2,19.4,1.1,,,,,,,,0.4,88,2281,-10.1,-26.7,13.7,1.5,16.1,82,2341,5.3,-44.7,6.8,1.3,24.5,93.4,2275,-13.5,-18.6,18.8,1,31.4,85.9,2400,2.1,-32.5,6.5,1.3,,,,,,,,,,,,,,,
Bailey, Homer,456701,2019,33,31,163.1,149,21.4,4.57,R,2656,48,93,2095,-7.9,-16.4,17,1.4,14.6,87.3,1837,2.4,-30.2,6.4,1.9,,,,,,,,8.9,78.3,1928,10.2,-53.6,13.5,1.7,2.5,92.7,2030,-13.3,-19.8,17.9,1.6,,,,,,,,26,84.2,1122,-7.4,-35.2,9.2,1.8,,,,,,,,
Guerra, Javy,457915,2019,34,51,67.2,57,19.9,4.66,R,1076,59.1,92.7,2089,-4.5,-14,19.2,2,25,85.2,2101,4.3,-35.3,6.3,2,8.7,83.6,1575,-9.1,-27.6,15.8,1.8,7.2,79,2289,5.2,-54.3,11.8,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happ, J.A.,457918,2019,37,31,161.1,140,20.6,4.91,L,2694,48.4,92,2319,8.1,-15.3,19.4,1.3,17.4,84.8,2191,-2.5,-32.4,7.4,1.8,15.9,86,1715,14.6,-29.4,17.1,1.3,0.8,81,2205,-3.3,-46.2,5,1.5,17.5,89.6,2103,14.1,-25.5,16.7,1.3,,,,,,,,,,,,,,,,,,,,,,
Albers, Matt,458006,2019,36,67,59.2,57,22.1,5.13,R,1005,10.1,93.2,2139,-12.9,-19.1,17.8,1.4,33.1,83.4,2405,5.4,-39.2,6.3,2.2,10.3,83.7,1530,-14.4,-35,15.3,1.4,,,,,,,,46.4,92.7,2036,-17.5,-25.6,18.6,1.4,,,,,,,,,,,,,,,,,,,,,,
Wilson, Justin,458677,2019,32,45,39.0,44,26.5,2.54,L,691,52.5,95,2374,3.9,-12.1,19.3,1.1,8.2,83.8,2566,-6.9,-43,7.7,1.4,,,,,,,,,,,,,,,,,,,,,,39.2,90.1,2459,-5.3,-25.4,10.7,1.3,,,,,,,,,,,,,,,
Lynn, Lance,458681,2019,32,33,208.1,246,28.1,3.67,R,3435,54.1,94.6,2482,-6.1,-15.9,16,1.5,,,,,,,,3,86.9,1811,-12.6,-29.6,14.4,2.1,9.5,81.2,2352,7.8,-52,12.6,1.7,17.2,92.8,2308,-12.9,-24.4,14.8,1.5,16.2,89,2583,3.3,-29.6,7,1.9,,,,,,,,,,,,,,,
Tomlin, Josh,458708,2019,35,51,79.1,51,15.9,3.74,R,1136,25.2,89.4,2188,-10.7,-19.7,19.1,1.2,,,,,,,,8.5,84.7,1742,-14.7,-32.6,16.4,1.6,17.3,76.5,2805,7.1,-57.1,11.1,1.3,5.7,88.5,2137,-13.6,-22.9,19,1.3,43.2,86.9,2608,2.5,-27.1,10.7,1.2,,,,,,,,,,,,,,,
McGee, Jake,459429,2019,33,45,41.1,35,19.4,4.35,L,647,80.4,93.4,2212,9.8,-17.7,17.3,1.4,19.6,80.4,2031,-2.3,-44.1,3.1,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blevins, Jerry,460283,2019,36,45,32.1,37,26.2,3.90,L,558,42.7,88.8,2223,8.3,-19.7,17.1,1,,,,,,,,8.2,82.9,1733,11.6,-30.9,14.5,1.1,49.1,72.3,2439,-14.7,-60,16.3,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clippard, Tyler,461325,2019,34,53,62.0,64,26.6,2.90,R,929,19.3,90.1,2363,-5.9,-14.1,20.9,1,8.7,82.6,1634,4.9,-40.4,7.3,1.4,30.5,78.4,2042,-12.5,-29.1,20.2,1.1,3.9,74.4,2178,6.4,-63.8,14.9,1.3,21.6,89.9,2253,-12.8,-19.1,19.8,0.9,,,,,,,,16,81.8,1138,-4.3,-42.8,7,1.3,,,,,,,,
Gonzalez, Gio,461829,2019,34,19,87.1,78,21.3,3.50,L,1399,26.6,89.5,2261,9.1,-18,18.9,1,,,,,,,,31.8,82.3,1623,13,-33.9,14.9,1.4,16.4,75.3,2688,-11.7,-66.9,20.3,1.4,25.2,88.9,2145,15,-23.7,18.8,1.2,,,,,,,,,,,,,,,,,,,,,,
Swarzak, Anthony,461872,2019,34,59,53.1,52,22.2,4.56,R,941,35.9,93.4,2284,-8.2,-14.6,18.9,1.2,59.4,86.1,2449,4.5,-34.3,5.8,1.3,,,,,,,,,,,,,,,4.7,92.5,2117,-14.5,-19,19.8,1.3,,,,,,,,,,,,,,,,,,,,,,
Estrada, Marco,462136,2019,36,5,23.2,11,10.4,6.85,R,333,52.6,87.3,2281,-4.2,-14.6,23.3,1,,,,,,,,31.5,75.7,1988,-12.3,-31.5,22,1.1,4.2,75.4,2626,7.2,-63,13.5,1.4,,,,,,,,11.7,83.8,2403,3.9,-29,12.5,1.2,,,,,,,,,,,,,,,
Soria, Joakim,465657,2019,35,71,69.0,79,28.4,4.30,R,1099,64.6,92.6,2301,-5.3,-15,17.9,1.2,11.7,81.5,2711,13.1,-43.9,13.8,2.5,7.1,87.6,1500,-10.7,-28.3,13.2,1.9,13,73,2751,16.1,-67.2,22.5,2.3,3.5,93.3,2338,-13.1,-18.8,18.3,1.4,,,,,,,,,,,,,,,,,,,,,,
Strop, Pedro,467008,2019,34,50,41.2,49,27.5,4.97,R,725,20.6,93.5,2374,-3.6,-16.3,15.4,1.1,39.9,83.1,2429,4.7,-42.6,5.8,1.4,,,,,,,,,,,,,,,16.3,93.5,2361,-11.8,-19.5,16.8,1.2,18.2,88.4,2344,3.3,-29.7,6.8,1.3,5.1,88.7,1758,-11.1,-27.7,13.4,1.2,,,,,,,,
Nova, Ivan,467100,2019,32,34,187.0,114,14.1,4.72,R,2946,17.9,92.5,2246,-12.4,-20.8,17.2,1.4,,,,,,,,15.8,86.2,2000,-16.5,-29.8,18.2,1.3,16.8,79.9,2257,2.8,-50.5,7.3,1.8,36.4,92.3,2162,-17.2,-25.5,18.6,1.4,13.2,86.7,2142,-3.6,-28.9,9,1.5,,,,,,,,,,,,,,,
Chacin, Jhoulys,468504,2019,31,25,103.1,101,21.5,6.01,R,1945,12.9,90,2158,-7.1,-20.5,16.2,1.6,49.6,79.8,2354,12.8,-41,13.7,1.6,5.6,82.8,1422,-9.5,-35,11.7,2,0.6,77,2582,13.4,-54.7,14.9,1.6,31.4,89.9,2080,-15.6,-26.6,17.9,1.3,,,,,,,,,,,,,,,,,,,,,,
Carrasco, Carlos,471911,2019,32,23,80.0,96,28.2,5.29,R,1274,33.6,93.8,2391,-11.8,-17,18.5,1.5,34.1,84.7,2729,2.4,-39.1,3.7,1.7,18.6,87.8,1447,-10,-34.5,10.4,1.7,1.6,81.2,2886,9.3,-48.3,11.5,1.7,12.1,92.7,2258,-16.8,-23.3,18.9,1.4,,,,,,,,,,,,,,,,,,,,,,
Garcia, Luis,472610,2019,32,64,62.0,57,20.5,4.35,R,1046,22.1,97.1,2098,-8.7,-15.5,16.1,1.5,34.2,85.2,2315,7.1,-37.5,7.4,1.8,,,,,,,,,,,,,,,25,96.8,2071,-13.5,-18.7,17.2,1.5,,,,,,,,18.7,86.7,1060,-6.5,-33,8,2.1,,,,,,,,
Dyson, Sam,473879,2019,31,61,62.1,55,22.1,3.32,R,847,9.9,94,2337,-8.9,-20.2,15,1.3,7,82.8,3270,17.3,-51.7,19.8,1.5,10.6,87.3,1986,-17.1,-36.2,17.4,1.3,,,,,,,,45.2,93.8,2251,-17.2,-29.1,17.7,1.2,27.3,91.1,2588,0.9,-26.5,8.5,1.7,,,,,,,,,,,,,,,
Anderson, Brett,474463,2019,31,31,176.0,90,12.1,3.89,L,2659,18.6,89.4,2028,3.1,-22.9,12.8,2.2,18.7,81.9,2384,-4.6,-50,9.9,1.6,13.4,82.6,1481,14,-34.2,15.9,1.8,5.5,75.6,2393,-7.8,-65.4,17.3,1.8,43.8,90.7,1799,14.7,-25.7,17.1,1.8,,,,,,,,,,,,,,,,,,,,,,
Roe, Chaz,475054,2019,33,71,51.0,65,28.4,4.06,R,925,5.2,92.1,2479,-5,-16.5,17,1,64.3,81.1,2953,22.8,-46.3,23.2,1.4,,,,,,,,0.6,74.9,2646,22,-52.6,22.2,1.5,23.7,92.1,2434,-13.2,-25.9,15,1,6.2,87.2,2699,6.5,-30.2,10.3,1.2,,,,,,,,,,,,,,,
Ross, Tyson,475115,2019,32,7,35.1,25,15.4,6.11,R,594,34,89.6,2498,-0.3,-25.9,9.3,1.5,28.1,83.6,2640,6.5,-42.7,7.1,1.2,,,,,,,,,,,,,,,1.2,89.8,2376,-8.8,-26.2,12.5,1.5,36.7,89.1,2473,2.8,-27.5,8.6,1.5,,,,,,,,,,,,,,,
